pair,Date,base,fore,spot,ret_1m,rate_base,rate_fore,carry_nom_1m,carry_real_1m,policy_bias,CarryScore,cpi_yoy_base,cpi_yoy_fore,dSpot_12m,dPPP_12m,Value_PPP,ValueScore,mom_3m,ma_fast,ma_slow,ma_signal,rsi_14,rsi_signal,z_bb,MomentumScore,gdp_yoy_base,gdp_yoy_fore,gdp_yoy_diff,cpi_yoy_diff,MacroScore,hedge_cost_1m,HedgeCostScore,FX_Score,FX_Score_next,HedgeRatio
EURCHF,2024-12-31,EUR,CHF,0.94008,0.00859997501694229,0.032712538378560474,,,,,,0.025563909774436233,-0.6470588235294117,0.011996184418144817,-0.6726227333038479,-0.6846189177219928,-0.014595654985958427,-0.001583716750117918,0.93748,0.9522274999999999,-1.0,42.29830508474578,-0.15403389830508446,-0.909350418189875,0.4188134944051445,0.06407137693891185,0.0,-0.06407137693891185,-0.6726227333038479,0.15250890433622608,,,0.1569618184773089,0.10285449157208156,0.5
EURCHF,2025-01-31,EUR,CHF,0.94411,0.004277706754984088,0.0301956736549851,,,,,,0.02562170308967593,-0.6923076923076923,0.013049364802553608,-0.7179293953973682,-0.7309787601999218,-0.03263304799965131,0.004011807295320566,0.93874,0.9532474999999999,-1.0,46.88691232528588,-0.06226175349428246,-0.5949232134556176,0.7116994910614917,0.03810696314815876,0.0,-0.03810696314815876,-0.7179293953973682,0.16180188482266616,,,0.21049474767669893,0.1569618184773089,0.5
EURCHF,2025-02-28,EUR,CHF,0.93706,-0.007495370440798753,0.025319865436653544,,,,,,0.023220973782771548,-0.75,-0.019738595194731014,-0.7732209737827715,-0.7534823785880406,-0.040632050906904464,0.005382311331127626,0.9404166666666667,0.9516908333333335,-1.0,53.28519855595669,0.0657039711191338,-0.9353940662949853,0.7343511914809356,0.03810696314815876,0.0,-0.03810696314815876,-0.7732209737827715,0.16513002007677574,,,0.26470101392262285,0.21049474767669893,0.5
EURCHF,2025-03-31,EUR,CHF,0.95637,0.020397553123717174,0.025981992595520254,,,,,,0.029962546816479474,-0.7,-0.017311154580726462,-0.7299625468164794,-0.7126513922357529,-0.02712139997410298,0.01717988943790251,0.9458466666666666,0.9502991666666668,-1.0,58.69040862656075,0.17380817253121505,0.29527415662926143,1.4070328704276354,0.04003320895757945,0.3333333333333335,0.29330012437575403,-0.7299625468164794,0.24312181290506424,,,0.39676016471437275,0.26470101392262285,0.5
EURCHF,2025-04-30,EUR,CHF,0.93601,-0.02151870728238324,0.02360308619242435,,,,,,0.022172949002217335,-1.0,-0.04659965419242812,-1.0221729490022173,-0.9755732948097893,-0.13564136588208606,-0.008616524599464818,0.9431466666666667,0.9465783333333334,-1.0,42.82284467078937,-0.14354310658421254,-0.9100976875069987,-0.022545773287303138,0.026729692046972175,0.3333333333333335,0.3066036412863613,-1.0221729490022173,0.16140428504909804,,,0.2893893772662483,0.39676016471437275,0.5
EURCHF,2025-05-31,EUR,CHF,0.93325,-0.0029530423865116034,0.021703755137668423,,,,,,0.019911504424778848,-1.0714285714285714,-0.047746158872448194,-1.0913400758533502,-1.043593916980902,-0.17270036797050983,-0.004074196545177669,0.9418766666666666,0.942775,-1.0,33.79720052083336,-0.32405598958333287,-0.9795633505660069,-0.04059319065491129,0.026729692046972175,0.3333333333333335,0.3066036412863613,-1.0913400758533502,0.1145709070065765,,,0.16921653533784167,0.2893893772662483,0.5
EURCHF,2025-06-30,EUR,CHF,0.93482,0.0016808795919325409,0.020884926604615828,,,,,,0.022123893805309658,-0.9230769230769231,-0.029512481052697638,-0.9452008168822328,-0.9156883358295351,-0.1373974639395628,-0.022790870076962302,0.9346933333333333,0.9404416666666666,-1.0,30.38678760910493,-0.3922642478179014,-0.7965789139799608,-0.6805195732105114,0.0510018180877605,-0.8333333333333333,-0.8843351514210938,-0.9452008168822328,-0.13216173134162917,,,-0.14142431519441764,0.16921653533784167,0.5
EURCHF,2025-07-31,EUR,CHF,0.92736,-0.008012157694362962,0.019881182373891804,,,,,,0.01986754966887405,-0.8461538461538461,-0.024804121463332246,-0.8660213958227202,-0.841217274359388,-0.123664845929656,-0.009284320488942024,0.93181,0.9385008333333333,-1.0,28.975928192574457,-0.42048143614851086,-1.1445620647497674,-0.3064608433246493,0.04496428401013053,-0.8333333333333333,-0.8782976173434638,-0.8660213958227202,-0.16247772507561276,,,-0.20120223265079487,-0.14142431519441764,0.5
EURCHF,2025-08-31,EUR,CHF,0.93554,0.008782062991274042,0.018613859699680546,,,,,,0.01986754966887405,-0.8181818181818181,-0.0037128755524261925,-0.8380493678506922,-0.834336492298266,-0.14403581204953636,0.0024507848888436212,0.9325733333333334,0.9382108333333332,-1.0,38.103959532530986,-0.23792080934938029,-0.681209504172988,0.34893452439326006,0.04496428401013053,-0.8333333333333333,-0.8782976173434638,-0.8380493678506922,-0.21078699927644212,,,-0.1726153701893419,-0.20120223265079487,0.5
EURCHF,2025-09-30,EUR,CHF,0.93543,-0.00011758606511788616,0.01604194000137671,,,,,,0.01986754966887405,-0.75,-0.006542378157384517,-0.769867549668874,-0.7633251715114895,-0.13900431987555215,0.0006523192317931942,0.9327766666666667,0.9376991666666666,-1.0,42.58284600389865,-0.14834307992202697,-0.7056044981869755,0.3534450643136461,0.03287094120594358,-0.8,-0.8328709412059436,-0.769867549668874,-0.247038863069672,,,-0.04909851088788769,-0.1726153701893419,0.5
